gen1r,gen2,gen3r,gen4,gen5,gen6,check1,gen7r,gen8r,itss1r,itss2,itss3r,check2,itss4,itss5,itss6,itss7r,itss8r,iti1r,iti2,iti3r,iti4,iti5,check3,iti6,iti7r,iti8r,check4,age,gender
5,4,5,5,6,5,NA,3,5,5,5,6,NA,5,5,3,5,5,5,6,5,5,5,NA,4,5,5,NA,49,2
3,5,3,5,4,3,NA,3,3,5,3,5,NA,3,4,3,5,5,5,3,5,3,3,NA,3,5,5,NA,30,1
1,5,2,7,7,5,NA,1,3,1,6,1,NA,6,7,6,1,3,1,7,1,7,7,NA,7,2,1,NA,41,2
2,6,2,6,6,2,NA,2,3,2,6,2,NA,6,6,6,2,2,3,5,3,5,5,NA,5,3,3,NA,31,2
3,6,2,2,7,6,NA,2,3,2,2,3,NA,6,6,6,3,3,3,6,3,5,6,NA,6,2,3,NA,28,1
3,5,3,5,5,5,NA,3,3,4,4,3,NA,4,4,4,3,3,6,2,6,2,2,NA,2,6,6,NA,25,1
3,5,3,5,6,5,NA,5,6,4,5,5,NA,5,6,6,2,2,3,7,3,6,5,NA,5,4,3,NA,25,1
6,2,6,2,2,2,NA,6,6,6,2,6,NA,2,2,2,6,6,6,2,6,2,2,NA,2,6,6,NA,20,2
3,5,3,5,6,6,NA,4,3,2,3,2,NA,3,3,6,5,5,6,3,6,2,2,NA,2,6,7,NA,33,1
5,3,5,3,5,3,NA,5,3,3,5,2,NA,5,5,5,2,2,5,5,5,5,2,NA,2,6,6,NA,26,2
5,3,5,3,3,3,NA,5,5,2,6,2,NA,6,6,6,2,2,5,3,5,3,3,NA,3,5,5,NA,58,1
3,5,3,5,7,5,NA,1,1,1,5,1,NA,5,5,5,1,1,3,5,3,4,4,NA,4,5,2,NA,38,2
5,3,5,3,3,3,NA,5,5,3,5,3,NA,6,6,5,2,2,3,5,3,6,6,NA,5,3,3,NA,39,2
2,5,2,5,5,5,NA,2,3,2,6,2,NA,6,6,6,2,2,4,4,4,4,4,NA,4,4,4,NA,29,1
1,3,3,6,6,6,NA,2,2,2,6,1,NA,7,6,5,2,2,4,3,5,3,2,NA,2,6,4,NA,31,1
6,3,5,3,3,3,NA,3,6,3,6,2,NA,6,5,6,2,2,6,6,6,2,2,NA,2,6,6,NA,35,2
7,1,7,1,1,1,NA,7,7,1,6,1,NA,6,6,6,2,2,7,7,7,1,1,NA,1,7,7,NA,35,1
3,5,3,5,5,5,NA,3,4,2,6,2,NA,6,6,6,1,2,3,6,2,6,6,NA,6,2,2,NA,31,1
2,5,3,3,6,2,NA,3,2,2,6,2,NA,6,6,6,2,2,2,5,2,5,5,NA,5,2,2,NA,31,2
2,6,2,6,6,6,NA,2,2,2,6,2,NA,6,7,6,2,2,3,5,3,5,5,NA,5,3,3,NA,50,2
3,5,3,5,5,5,NA,3,3,2,5,2,NA,5,6,5,1,1,3,5,3,5,5,NA,5,3,3,NA,37,2
5,3,3,5,6,5,NA,2,5,2,6,1,NA,7,5,5,1,2,2,6,1,7,6,NA,6,2,1,NA,19,2
