ltss1r,ltss2r,ltss3r,ltss4,ltss5,ltss6,lti1r,lti2r,lti3,lti4,lti5r,lti6,diff.imposs1,diff.imposs2,diff.imposs3,diff.imposs4,gpa,cond,gender,grade,age
4,7,5,7,5,4,1,1,4,7,1,7,2,1,1,2,3.142857143,ctrl,female,1,15
4,4,4,4,4,4,5,5,5,6,5,6,6,6,6,6,1.571428571,gen.ed,female,3,17
7,6,6,7,7,6,2,2,7,7,7,7,1,1,1,1,3,ltss,male,2,15
4,4,6,6,5,4,5,5,5,5,5,5,5,5,5,6,1.428571429,stem,male,3,17
1,1,1,7,7,7,1,1,7,7,1,7,1,1,2,1,3,stem,female,2,15
5,4,4,6,6,7,6,6,6,6,4,6,1,2,1,1,4,ctrl,MALE,1,15
6,6,2,7,5,6,4,4,4,4,4,4,4,4,4,4,2.285714286,ctrl,Female,2,16
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,stem,male,2,16
3,4,5,5,5,5,4,5,5,4,6,2,2,2,3,6,2.857142857,ctrl,F,1,15
5,1,1,7,7,7,1,7,7,7,7,7,1,1,1,1,1.428571429,stem,male,1,16
6,2,4,5,4,5,6,6,7,7,5,5,6,7,7,6,3,stem,female,2,16
6,5,6,5,7,6,6,5,6,6,6,7,6,6,7,5,3.285714286,stem,m,2,15
5,4,4,4,4,5,3,3,3,3,3,3,4,2,4,4,2.714285714,gen.ed,Male,2,16
7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,gen.ed,male,2,16
6,4,3,5,6,6,3,3,5,5,6,5,4,3,4,4,4,gen.ed,female,3,17
5,3,1,3,5,5,5,5,5,5,5,5,5,5,5,5,1.857142857,gen.ed,female,2,16
2,2,3,3,6,6,7,7,6,7,7,7,6,7,7,7,3.142857143,stem,female,2,16
4,4,4,5,5,6,5,5,5,2,5,4,6,3,4,5,3.714285714,gen.ed,female,2,16
1,2,3,6,6,7,3,5,6,7,3,7,2,3,4,4,3,ctrl,Male,2,16
1,2,7,5,5,7,7,7,5,4,2,7,6,5,4,4,2.428571429,gen.ed,male,1,14
5,5,6,6,6,6,2,2,6,6,6,6,2,2,2,2,1.857142857,ctrl,female,2,15
1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,2.571428571,ltss,,NA,
2,2,2,7,6,7,1,1,7,7,1,7,5,4,2,2,1.714285714,ltss,male,2,16
4,5,6,6,5,6,4,5,5,5,5,5,6,6,3,4,1.285714286,ltss,male,2,16
2,5,3,6,5,6,3,6,6,6,6,6,2,2,2,2,3,ltss,male,1,15
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3.142857143,gen.ed,male,2,16
2,2,1,6,6,6,2,2,7,7,5,7,2,2,2,2,0.2857142857,stem,male,1,15
5,4,6,5,6,6,6,5,5,5,5,6,4,3,2,4,1.428571429,stem,male,1,16
2,1,2,7,7,7,2,1,7,7,2,6,4,2,1,2,3,gen.ed,male,1,14
2,2,2,6,5,6,3,3,3,5,5,5,2,4,4,4,1,ctrl,male,1,16
1,1,1,7,6,7,1,1,7,7,1,7,1,1,1,1,3.571428571,ctrl,female,1,15
1,6,1,1,6,1,5,6,6,5,6,5,5,5,2,3,1.142857143,gen.ed,male,1,16
3,3,5,7,6,6,5,3,5,5,4,5,4,5,4,5,2.857142857,gen.ed,Male,2,16
7,6,5,4,5,5,4,4,4,4,4,4,5,4,4,4,2.142857143,gen.ed,male,2,16
5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,1.714285714,ctrl,male,2,15
1,7,1,7,6,7,1,7,7,7,6,7,1,1,1,1,0.2857142857,stem,male,1,15
5,5,5,4,4,6,6,6,5,5,7,6,2,5,2,1,1.714285714,ltss,male,1,15
7,7,5,7,6,7,4,7,7,7,7,7,5,5,1,6,1.571428571,stem,male,1,15
3,4,3,4,3,5,5,6,4,4,4,4,5,5,6,6,0.2857142857,stem,female ,2,16
1,2,2,7,7,7,1,1,7,7,5,7,3,5,4,4,1.571428571,ctrl,male,1,14
4,5,4,5,5,5,6,5,5,5,5,5,2,6,5,4,3.714285714,gen.ed,female,1,14
3,4,4,6,5,5,4,5,5,5,5,5,5,5,5,5,3.142857143,gen.ed,male,1,15
5,2,4,6,7,4,5,7,7,7,6,7,7,5,4,7,1,ltss,female,2,17
1,2,2,5,7,6,1,7,7,7,2,7,2,3,2,1,1.857142857,gen.ed,male ,1,15
5,5,4,3,3,5,2,2,5,5,2,5,2,2,2,3,3.857142857,ltss,male,1,14
2,1,2,6,7,6,4,5,5,5,6,7,4,1,3,1,3.428571429,ctrl,male,1,14
3,5,3,3,4,4,4,4,4,5,3,4,5,5,4,4,0.2857142857,ctrl,female,1,15
2,2,2,2,3,6,6,6,6,6,6,7,2,7,2,6,NA,ltss,male,1,15
5,4,5,6,6,6,7,6,6,7,5,7,4,6,5,5,0.7142857143,stem,female,1,going on 15
4,6,5,6,6,5,6,6,4,4,5,7,5,4,4,5,1.714285714,gen.ed,female,1,15
4,3,2,4,5,4,6,6,5,NA,NA,4,5,5,6,6,2.571428571,gen.ed,male,1,14
2,5,2,6,5,3,2,5,4,4,3,4,2,1,2,2,3.857142857,ltss,female,1,15
4,5,5,6,6,5,6,6,6,6,4,5,6,3,4,5,2.857142857,ctrl,male,1,15
4,4,5,4,4,4,4,5,4,4,5,5,5,5,5,4,2,ltss,male,3,17
4,2,3,5,3,6,4,7,4,3,7,4,4,4,4,1,3.285714286,ltss,male,1,14
2,2,6,5,6,5,1,1,7,7,3,7,4,4,2,1,2,gen.ed,male,1,14
4,2,2,6,6,6,2,3,6,6,5,6,3,5,5,6,3,gen.ed,female,3,17
3,3,6,6,5,5,6,6,5,6,5,6,5,6,3,5,2.857142857,ltss,male,1,15
5,5,6,6,7,7,7,7,7,7,7,7,2,3,6,3,2.857142857,ctrl,Male,1,15
1,1,1,7,7,7,1,1,7,7,1,7,1,1,1,1,1.714285714,ctrl,male,1,15
4,2,4,6,6,6,1,6,4,NA,NA,6,2,2,2,2,1.428571429,ctrl,male,1,15
3,3,6,6,5,5,4,5,5,5,5,5,4,6,5,5,1.857142857,ctrl,female,3,18
1,6,6,6,6,6,4,4,4,4,4,4,5,5,4,4,2.428571429,ltss,male ,1,14
2,2,2,2,2,2,7,6,5,4,3,2,2,6,2,1,0.8571428571,gen.ed,girl,1,16
4,4,4,5,6,6,4,4,4,4,3,4,4,4,4,4,1.428571429,ltss,male,1,15
1,1,1,7,7,7,6,7,5,1,2,7,6,4,4,5,0.4285714286,stem,male,3,17
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3.428571429,gen.ed,male,2,16
2,2,2,7,7,7,5,4,6,6,6,7,1,5,1,1,3,ltss,Female,3,17
2,2,2,7,7,7,2,2,6,7,2,7,2,2,2,2,3.142857143,stem,female,1,15
3,7,5,4,7,6,6,6,4,4,7,2,4,4,4,6,NA,gen.ed,girl,3,17
