school.x,year,entity1,entity2,entity3,entity4,increment1,increment2,increment3,increment4,ltss1,ltss2r,ltss3,dircheck1,ltss4r,lti1r,dircheck2,lti2,lti3r,ladder,income,gender,anagramwords,correctwords,totalwords,collegetype
Southwestern College,2,2,2,2,2,NA,NA,NA,NA,5,3,5,NA,2,5,NA,3,6,8,5,1,"rack, crag, lack, elk, rake, earl, regal, leak, car, rag, gar, ",11,12,community
Winthrop University,3,NA,NA,NA,NA,5,3,4,3,5,2,4,NA,3,3,NA,4,4,7,2,1,"Ear, Creak, Reak, Car, Rag, Gal, Lag, Rake, Gear, Gel, Lake",10,11,public
U of Maryland- College Park,5,4,4,4,4,NA,NA,NA,NA,3,5,5,NA,5,5,NA,2,5,5,4,1,"rack, cage, lake, lark, keg, car, ",6,7,public
Winona State University,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,public
Columbia College Chicago,3,NA,NA,NA,NA,3,3,3,3,5,3,5,NA,3,3,NA,5,3,8,3,2,"car, lake, gal, cake, rake, gear, are, rag, ear, kale, leak, cage, rage, leg, lag, keg, ",16,17,private
Clemson University,2,NA,NA,NA,NA,3,2,3,3,5,3,4,NA,4,5,NA,3,3,3,6,1,"leg, rag, car, creak, glare, kale, gale, leak, rake, cake, lake, keg, rage, race, rack, lace, ",16,17,public
West Chester University,4,5,4,5,5,NA,NA,NA,NA,2,6,3,NA,7,6,NA,3,6,4,8,2,"cake, lake, laker, care, arc, lace, ace, gear, gel, leg, lear, ear, rag, rage, real, rake, gal, gale, ale, reg, leak, lacer",22,22,public
Sam Houston State University,4,3,4,3,3,NA,NA,NA,NA,4,3,5,NA,6,1,NA,4,4,8,1,2,"keg, rag, car, ",3,4,public
UVA,4,4,4,5,5,NA,NA,NA,NA,3,5,5,NA,6,7,NA,3,7,6,5,2,"gale, crag, lake, rake, cake, kale, car, ear, care, lack, rack, lace, race, arc, ace, lag, leg, keg, rage, cage, gear, ",21,22,public
University of Texas at Dallas,4,3,3,4,4,NA,NA,NA,NA,2,3,1,NA,5,1,NA,6,2,7,1,1,"care, car, lake, gale, kale, lag, gal, keg, rag, rack, leg, large, lark, crag, creak, race, cake, age, ",18,19,public
