In.Age,In.SexElig,In.Race.1,In.Race.2,In.Race.3,In.Race.4,In.Race.6,In.Race.6.TEXT,In.Year,In.MHIncome,In.FHIncome,In.MIncome,In.FIncome,W5.SubSES2,ltss1r,ltss2,ltss3r,ltss4,ltss5,ltss6,ltss7r,ltss8r,lti1r,lti2,lti3r,pwe1,pwe2,pwe3r,pwe4r,gpa
20,1,NA,NA,1,NA,NA,      ,2,NA,NA,0,80000,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,NA,NA,NA,NA,NA
20,1,NA,NA,1,NA,NA,      ,3,NA,NA,40000,100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,6,NA,NA,NA,NA,NA
20,2,NA,NA,NA,1,NA,      ,2,NA,NA,20000,0,7,5,4,5,4,2,2,5,7,2,6,2,5,5,6,6,1.75
20,2,NA,NA,1,1,NA,      ,2,NA,NA,40000,200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,6,NA,NA,NA,NA,NA
21,2,NA,NA,1,1,NA,      ,3,NA,NA,10000,30000,4,2,5,2,6,5,5,2,2,3,5,4,6,6,5,6,3.02
21,2,1,NA,NA,NA,NA,      ,3,NA,NA,0,125000,6,3,4,3,5,2,1,3,2,5,2,5,5,5,5,5,3.225
19,2,NA,1,NA,NA,NA,      ,2,NA,NA,0,0,5,5,5,5,5,5,5,5,5,1,5,2,5,5,5,5,3.069
20,1,NA,1,1,NA,NA,      ,2,NA,NA,150000,700000,1,3,3,3,3,3,3,3,3,4,3,4,6,5,5,5,3.65
20,1,NA,NA,1,NA,NA,      ,2,NA,NA,60000,90000,6,7,5,5,5,3,5,6,6,1,1,1,5,5,6,6,2.233
19,1,NA,NA,1,NA,NA,      ,2,NA,NA,140000,100000,2,2,4,2,6,5,4,3,2,4,4,5,3,5,6,5,3.325
21,2,NA,NA,1,1,NA,      ,3,NA,NA,45000,45000,4,5,3,5,4,2,2,5,4,5,2,5,2,3,6,6,3.575
19,1,NA,NA,NA,NA,1,Indian,1,NA,NA,100000,300000,3,NA,NA,NA,NA,NA,NA,NA,NA,2,6,6,NA,NA,NA,NA,3.175
20,1,NA,NA,1,NA,NA,      ,2,60000,20000,NA,NA,6,3,4,5,3,4,4,3,3,4,3,4,6,5,3,5,2.239
19,2,NA,1,NA,NA,NA,      ,2,NA,NA,20000,90000,4,4,5,4,4,4,5,3,5,4,4,5,3,3,5,6,3.467
20,1,NA,NA,1,NA,NA,      ,2,NA,NA,0,80000,5,3,5,3,5,5,5,3,3,4,3,5,5,5,5,5,NA
21,1,NA,NA,1,NA,NA,      ,4,NA,NA,0,500000,1,3,3,3,5,6,5,3,3,2,2,3,5,5,6,6,4
20,2,NA,NA,1,1,NA,      ,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,3,NA,NA,NA,NA,NA
20,2,NA,1,NA,NA,NA,      ,2,NA,NA,75000,150000,4,3,5,2,5,3,5,3,3,4,3,4,5,5,5,5,3.425
20,2,NA,1,NA,NA,NA,      ,2,NA,NA,NA,60000,4,2,3,1,6,5,5,2,6,4,3,5,3,5,5,5,3.825
19,2,1,NA,NA,NA,NA,      ,1,NA,NA,43000,NA,7,2,6,3,5,4,5,2,2,3,4,4,4,5,6,6,3.425
21,1,NA,NA,NA,1,NA,      ,3,NA,NA,13000,0,8,4,3,3,5,3,4,4,4,2,4,3,3,3,6,6,3.332
20,1,NA,1,NA,NA,NA,      ,2,NA,NA,50000,10000,4,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,6,6,6,6,3.467
20,1,NA,NA,1,NA,NA,      ,3,NA,NA,0,175000,2,5,3,2,5,3,3,5,6,1,6,1,5,1,7,6,3.925
20,2,NA,NA,1,NA,NA,      ,3,NA,NA,70000,300000,2,3,3,3,6,2,5,3,3,5,2,5,5,3,6,6,3.8
20,2,NA,1,NA,NA,NA,      ,2,NA,NA,NA,NA,4,2,5,3,5,5,5,3,3,2,5,2,2,5,5,5,3.311
20,1,NA,1,NA,NA,NA,      ,1,NA,NA,0,80000,3,4,3,4,5,4,4,4,4,4,4,4,2,2,5,6,3.675
18,2,NA,NA,NA,NA,1,Indian,1,NA,NA,NA,NA,3,2,5,3,5,5,5,2,2,1,5,1,6,6,3,5,3.667
21,1,NA,NA,1,NA,NA,      ,4,NA,NA,60000,60000,3,2,4,2,6,5,5,1,2,1,1,1,2,2,7,6,NA
20,2,1,NA,NA,NA,NA,      ,2,60000,60000,NA,NA,6,3,3,4,4,3,4,5,2,1,5,2,2,5,6,6,NA
19,1,NA,1,NA,NA,NA,      ,2,NA,NA,0,135000,8,6,NA,7,7,NA,1,5,7,4,5,5,7,6,6,7,NA
19,1,NA,1,NA,NA,NA,      ,2,NA,NA,90000,60000,5,2,5,3,6,2,5,2,2,4,4,5,6,5,6,6,3.533
20,1,NA,NA,1,NA,NA,      ,2,20000,130000,NA,NA,2,3,3,2,5,3,5,2,3,3,4,3,3,3,6,5,3.778
20,2,NA,1,NA,NA,NA,      ,3,NA,NA,20000,40000,5,5,5,3,5,5,5,3,3,4,5,3,5,5,5,4,4
19,2,NA,NA,1,1,NA,      ,1,NA,NA,17000,55000,4,2,5,1,5,6,6,4,3,3,4,3,5,5,7,7,3.275
19,1,NA,NA,1,NA,NA,      ,1,NA,NA,50000,150000,3,2,6,1,6,6,6,2,2,3,3,3,5,5,5,5,2.667
22,1,NA,NA,NA,NA,1,Indian,5,NA,NA,4000,80000,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,NA,NA,NA,NA,NA
22,1,NA,1,NA,NA,NA,      ,5,NA,NA,0,100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,2,NA,NA,NA,NA,NA
20,1,NA,1,NA,NA,NA,      ,2,NA,NA,40000,90000,2,3,5,3,5,5,5,3,5,6,4,5,5,5,5,5,3.77
19,1,NA,1,NA,NA,NA,      ,1,NA,NA,14000,130000,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,NA,NA,NA,NA,NA
19,1,NA,NA,1,NA,NA,      ,1,NA,NA,45000,30000,5,2,5,3,5,6,5,3,3,3,3,4,6,6,6,6,3.675
19,1,NA,1,NA,NA,NA,      ,1,NA,NA,500000,300000,2,4,4,2,2,3,3,3,5,4,3,5,6,5,6,6,3.467
18,1,NA,NA,1,NA,NA,      ,1,NA,NA,0,0,4,3,5,3,5,5,5,3,3,3,4,4,3,6,5,5,3.567
18,2,NA,NA,NA,1,NA,      ,1,NA,NA,15000,32500,8,2,2,2,5,4,6,4,6,1,6,1,2,5,7,6,2.567
18,2,NA,NA,1,NA,NA,      ,1,NA,NA,NA,NA,2,2,5,2,6,5,6,2,3,2,4,3,2,3,5,6,3.575
19,2,NA,NA,1,NA,NA,      ,1,NA,NA,0,200000,2,3,5,3,6,5,5,3,3,4,2,4,2,2,6,6,3.15
18,1,NA,1,NA,NA,NA,      ,1,NA,NA,30000,70000,4,3,5,3,5,4,4,2,2,4,3,5,5,6,6,6,3.65
19,2,NA,1,NA,NA,NA,      ,1,NA,NA,0,400000,3,3,5,4,5,6,6,3,3,3,4,3,5,3,5,5,3.217
20,1,NA,1,NA,NA,NA,      ,1,NA,NA,0,60000,4,4,2,5,3,2,4,5,5,6,1,6,3,3,5,5,3.28
18,2,NA,NA,1,NA,NA,      ,1,NA,NA,1000,400000,5,3,5,3,5,5,6,2,3,2,5,4,5,6,6,5,3.1
20,1,NA,NA,1,NA,NA,      ,2,NA,NA,20000,200000,2,2,5,3,5,4,5,3,3,1,5,2,5,5,5,6,3.325
23,1,NA,1,NA,NA,NA,      ,5,NA,NA,70000,110000,3,1,5,2,6,5,5,2,2,4,4,5,5,5,6,7,3.567
