MedianIncome_BlockGroup,gpa,Fixed,Check.1a,Check.1b,Growth,Check.2a,Check.2b,Control,persist1,persist2,persist3,persist4,persist5,persist6,Age,Gender,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_7,LadderUS
"98,438",3.88,1,1,2,NA,NA,NA,NA,2,2,3,2,2,3,14,1,NA,NA,NA,NA,NA,NA,1,4
"73,984",1.6839,1,1,2,NA,NA,NA,NA,4,5,5,6,2,3,14,1,NA,NA,1,NA,NA,NA,NA,7
"88,813",4.3667,NA,NA,NA,NA,NA,NA,1,2,1,1,5,1,1,14,2,NA,NA,NA,NA,NA,NA,1,8
NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112,642",3.9333,1,1,2,NA,NA,NA,NA,2,2,3,3,2,2,14,1,NA,NA,NA,NA,NA,NA,1,8
NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106,991",4.3529,1,1,2,NA,NA,NA,NA,3,2,2,2,2,2,14,2,NA,NA,NA,NA,NA,NA,1,8
"92,222",2.0125,NA,NA,NA,1,1,2,NA,5,4,4,4,5,4,15,1,NA,NA,1,NA,NA,NA,1,3
"35,766",3.5625,NA,NA,NA,NA,NA,NA,1,2,3,3,3,3,2,14,1,NA,NA,NA,1,NA,NA,NA,5
"62,679",3.1813,NA,NA,NA,NA,NA,NA,1,4,4,5,3,3,4,14,1,NA,NA,1,NA,NA,NA,NA,6
"57,872",4.4053,NA,NA,NA,1,1,2,NA,3,2,1,2,2,1,14,2,NA,NA,NA,NA,NA,NA,1,8
NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26,379",3.6529,1,1,2,NA,NA,NA,NA,1,2,5,2,2,4,15,1,NA,NA,1,NA,NA,NA,NA,7
"90,039",2.9786,NA,NA,NA,NA,NA,NA,1,2,2,3,2,3,2,14,1,NA,NA,1,NA,NA,NA,NA,4
"178,750",2.7059,1,1,2,NA,NA,NA,NA,1,1,3,3,6,5,14,1,NA,NA,1,NA,NA,NA,NA,6
"18,438",3.3333,NA,NA,NA,1,1,2,NA,1,1,1,1,1,1,14,2,NA,NA,NA,NA,NA,NA,1,7
NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106,991",3.4357,1,1,2,NA,NA,NA,NA,3,4,4,4,4,4,14,2,NA,NA,NA,NA,NA,NA,1,8
"60,938",1.7692,NA,NA,NA,NA,NA,NA,1,4,4,4,4,4,3,14,1,NA,NA,1,NA,NA,NA,NA,2
"18,864",4.0733,NA,NA,NA,1,1,2,NA,2,2,1,2,1,2,14,2,NA,NA,NA,NA,NA,NA,1,6
"215,104",3.05,NA,NA,NA,NA,NA,NA,1,7,4,4,6,4,4,14,2,NA,1,NA,NA,NA,NA,1,3
"48,702",4.1467,NA,NA,NA,NA,NA,NA,1,1,2,1,4,6,6,14,2,NA,1,NA,NA,NA,NA,NA,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
